LandId,Owner,HistoricalName,District,EnglishName,Description,BuildingPointsCount,LastIncome
polygon-1746056164869,TechnoMedici,"Cale de la Malvasia Vechia, Sestiere San Marco",San Marco,"Old Malvasia Street, District of St. Mark","This area was known for its taverns and wine shops, particularly those selling Malvasia wine, a sweet wine originating from Greece that was popular in Venice during the 15th century.",3,0
polygon-1746055950767,LorenzoGrimani,Calle Corrente in Sestiere Cannaregio,Cannaregio,Running Street in Cannaregio District,"A narrow street in the Cannaregio sestiere of Venice, known for its residential buildings and proximity to the Jewish Ghetto, which was established in 1516.",4,0
polygon-1746057029127,ConsiglioDeiDieci,Calle de l'Anzolo in Sestiere San Marco,San Marco,Angel Street in the District of St. Mark,"A narrow street located in the San Marco sestiere, near Piazza San Marco and the Basilica. This area was a center of political power and commerce in 15th century Venice.",2,7410
polygon-1746072933644,SilkRoadRunner,Calle de la Botta in Sestiere di Cannaregio,Cannaregio,Barrel Street in the Cannaregio District,"A narrow street located in the Cannaregio sestiere, known for its proximity to the Jewish Ghetto, which was established in 1516. The area was populated by artisans and working-class families during the 15th century.",8,6638
polygon-1746056283856,meyti_tgz,"Calle de la Fava, San Marco",San Marco,"Bean Street, St Mark's district","Named for the bean sellers who populated this street. Located in the central San Marco sestiere, near the Mercerie main shopping area and Rialto bridge.",10,8560
polygon-1746056974299,ConsiglioDeiDieci,Calle de la Fontana in Contrà San Provolo,Castello,Fountain Street in the San Provolo District,"A narrow street located near the Church of San Provolo in the Castello sestiere, known for its fresh water fountain.",28,17952
polygon-1746056083350,TechnoMedici,Calle de la Gexia de San Salvador,San Marco,Alley of the Church of San Salvador,"This narrow street was located in the San Marco sestiere, adjacent to the Church of San Salvador, an important religious site in 15th century Venice. The area was known for its proximity to Piazza San Marco and the bustling mercantile activity in the Rialto district.",1,0
polygon-1746055841290,SilkRoadRunner,Calle de la Maddalena in Cannaregio,Cannaregio,Alley of Mary Magdalene in Cannaregio,"A narrow street in the Cannaregio sestiere of Venice, near the Church of Santa Maria Maddalena. The area was known for its artisan workshops and residential homes in the 15th century.",9,22800
polygon-1746055995050,GamingPatrizio,Calle de la Madona in Sestiere San Marco,San Marco,Our Lady's Street in the District of St. Mark,"A narrow street located near Piazza San Marco, the cultural and religious heart of 15th century Venice. The area was known for its numerous churches, palaces of wealthy merchants and nobility, and bustling commercial activity.",25,9485
polygon-1746057206136,ConsiglioDeiDieci,Calle de la Madonna,Castello,Alley of the Madonna,This narrow alley in the Castello sestiere was known for its proximity to the Chiesa della Madonna della Fava church. The area was a quiet residential district populated by working-class Venetians.,68,24678
